order_id,date,customer_id,product_category,product_name,quantity,unit_price,total_price,payment_method
1979,2023-11-21 05:00:00,CUST_653,Garden,Shovel,3,760.69,2282.07,Cash
1568,2023-12-21 13:00:00,CUST_219,Tech,Smartphone,2,428.36,856.73,Debit Card
2679,2023-10-10 18:00:00,CUST_645,Home,Mirror,5,341.81,1709.04,PayPal
5692,2023-12-20 23:00:00,CUST_155,Tech,Smartphone,1,415.33,415.33,Credit Card
5716,2023-10-21 12:00:00,CUST_316,Furniture,Sofa,5,657.96,3289.79,Credit Card
1033,2023-11-24 14:00:00,CUST_840,Appliances,Blender,3,440.57,1321.71,Debit Card
1576,2023-12-22 03:00:00,CUST_217,Furniture,Sofa,3,266.59,799.76,PayPal
2512,2023-11-01 15:00:00,CUST_887,Garden,Lawnmower,3,24.32,72.96,PayPal
1097,2023-11-17 21:00:00,CUST_423,Home,Vase,5,733.13,3665.64,PayPal
1532,2023-10-30 22:00:00,CUST_188,Garden,Shovel,2,260.75,521.5,Credit Card
1905,2023-12-08 12:00:00,CUST_277,Appliances,Coffee Maker,5,485.7,2428.52,Debit Card
1369,2023-10-01 04:00:00,CUST_237,Appliances,Blender,2,284.81,569.63,Credit Card
4784,2023-12-01 10:00:00,CUST_921,Tech,Tablet,3,230.17,690.51,Credit Card
1094,2023-11-09 02:00:00,CUST_270,Appliances,Microwave,4,228.82,915.26,Cash
4052,2023-11-22 17:00:00,CUST_686,Home,Mirror,1,330.68,330.68,Debit Card
3435,2023-12-01 01:00:00,CUST_575,Tech,Headphones,5,541.68,2708.39,Debit Card
1735,2023-10-30 03:00:00,,Appliances,Microwave,1,81.55,81.55,Cash
5183,2023-10-02 15:00:00,CUST_390,Appliances,Microwave,2,59.47,118.94,Credit Card
1562,2023-12-26 19:00:00,CUST_564,Appliances,Blender,2,294.75,589.5,Debit Card
5979,2023-11-21 20:00:00,CUST_566,Tech,Tablet,3,180.04,540.11,Credit Card
4222,2023-12-10 22:00:00,CUST_521,Home,Cushion,5,493.57,2467.83,PayPal
1173,2023-10-24 21:00:00,CUST_776,Tech,Laptop,2,775.87,1551.74,Credit Card
1518,2023-10-12 18:00:00,CUST_424,Tech,Headphones,5,746.53,3732.65,Credit Card
2824,2023-12-16 19:00:00,CUST_886,Home,Cushion,5,304.15,1520.76,PayPal
5260,2023-11-29 06:00:00,,Garden,Pot,1,596.57,596.57,
3423,2023-10-17 22:00:00,CUST_629,Home,Vase,3,838.47,2515.4,Cash
3288,2023-12-14 13:00:00,CUST_260,Home,Vase,1,353.8,353.8,Cash
5288,2023-12-11 15:00:00,CUST_543,Appliances,Microwave,5,562.49,2812.46,Cash
3336,2023-10-25 16:00:00,CUST_540,Home,Vase,5,967.03,4835.17,Credit Card
2156,2023-10-31 13:00:00,CUST_568,Appliances,Microwave,3,747.64,2242.92,Credit Card
1878,2023-11-24 11:00:00,CUST_483,Appliances,Coffee Maker,2,58.32,116.65,Debit Card
1632,2023-10-30 09:00:00,CUST_175,Furniture,Table,2,753.49,1506.97,Credit Card
2310,2023-10-04 21:00:00,CUST_754,Home,Vase,2,692.88,1385.75,Debit Card
2897,2023-12-15 12:00:00,CUST_856,Home,Cushion,3,69.2,207.6,Cash
4045,2023-12-28 06:00:00,,Appliances,Coffee Maker,4,274.53,1098.11,PayPal
3211,2023-12-11 12:00:00,CUST_693,Garden,Lawnmower,1,79.52,79.52,Cash
2589,2023-10-17 03:00:00,CUST_942,Home,Cushion,4,250.94,1003.78,PayPal
2877,2023-10-13 02:00:00,CUST_415,Furniture,Sofa,5,175.99,879.95,Debit Card
1624,2023-11-30 22:00:00,CUST_511,Appliances,Toaster,2,701.09,1402.19,Credit Card
5331,2023-11-11 04:00:00,CUST_637,Appliances,Toaster,5,576.26,2881.3,PayPal
4703,2023-12-22 09:00:00,CUST_307,Appliances,Toaster,4,567.59,2270.35,PayPal
1510,2023-11-10 04:00:00,,Garden,Lawnmower,5,37.47,187.34,Credit Card
5941,2023-11-11 16:00:00,CUST_959,Furniture,Table,4,634.84,2539.37,Debit Card
3012,2023-11-28 12:00:00,CUST_393,Appliances,Coffee Maker,3,292.36,877.08,Credit Card
2562,2023-12-05 04:00:00,CUST_570,Home,Vase,1,321.33,321.33,Cash
4718,2023-10-15 13:00:00,CUST_834,Home,Lamp,1,359.46,359.46,Credit Card
3147,2023-12-17 21:00:00,CUST_936,Tech,Headphones,2,89.03,178.06,Cash
4012,2023-10-01 18:00:00,CUST_751,Furniture,Table,4,135.42,541.67,Debit Card
1096,2023-10-02 21:00:00,CUST_525,Tech,Headphones,4,502.59,2010.35,PayPal
2318,2023-10-20 20:00:00,CUST_142,Tech,Tablet,4,285.19,1140.75,PayPal
3564,2023-11-23 02:00:00,CUST_563,Tech,Tablet,3,579.99,1739.96,Debit Card
5821,2023-12-16 10:00:00,CUST_166,Home,Lamp,5,190.26,951.29,Credit Card
3270,2023-12-11 15:00:00,CUST_449,Furniture,Chair,1,586.9,586.9,Cash
3384,2023-11-02 18:00:00,CUST_111,Appliances,Blender,3,108.29,324.87,PayPal
5382,2023-10-19 17:00:00,CUST_611,Appliances,Blender,5,530.9,2654.5,PayPal
